Video,Frames,UP,DOWN,AvgFPS,AvgLat_ms,PeakRAM_KB,Flash_KB,TotalEnergy_J
1-morning-back-crowd.mp4,474,0,9,0.48,2097.42,153.46,401.98,845.0490
2-morning-back-uncrowd.mp4,382,1,3,0.48,2097.31,152.68,401.98,680.9971
3-morning-front-crowd.mp4,1159,11,1,0.48,2097.35,152.99,401.98,2066.2036
4-morning-front-uncrowd.mp4,381,2,0,0.48,2097.16,152.40,401.98,679.1644
5-afternoon-back-crowd.mp4,537,2,2,0.48,2097.35,153.21,401.98,957.3334
6-afternoon-back-uncrowd.mp4,412,0,2,0.48,2097.29,152.49,401.98,734.4715
7-afternoon-front-crowd.mp4,865,6,1,0.48,2097.36,153.14,401.98,1542.0861
8-afternoon-front-uncrowd.mp4,383,1,0,0.48,2097.24,152.68,401.98,682.7582
9-morning-front-crowd.mp4,982,14,1,0.48,2097.38,153.31,401.98,1750.6800
10-morning-back-up-and-down.mp4,473,5,4,0.48,2097.54,153.64,401.98,843.3161
11-afternoon-back-up-and-down.mp4,442,1,3,0.48,2097.26,152.45,401.98,787.9425
12-morning-back-up-and-down.mp4,445,2,4,0.48,2097.28,152.82,401.98,793.2953
13-morning-front-super-crowd.mp4,1162,12,2,0.48,2097.33,153.11,401.98,2071.5281
14-morning-front-the-driver_3.mp4,328,1,0,0.48,2097.11,152.20,401.98,584.6757
15-morning-back-crowd-noisy.mp4,948,3,22,0.48,2097.44,153.26,401.98,1690.1179
16-afternoon-back-crowd.mp4,559,3,3,0.48,2097.36,153.09,401.98,996.5608
17-afternoon-back-uncrowd.mp4,562,2,7,0.48,2097.41,153.13,401.98,1001.9337
18-afternoon-front-crowd-noisy.mp4,621,1,1,0.48,2097.22,152.50,401.98,1107.0167
19-random.mp4,536,0,6,0.48,2097.27,153.13,401.98,955.5186
20-random.mp4,533,2,14,0.48,2097.31,153.57,401.98,950.1881
21-morning-front-noisy.mp4,712,7,1,0.48,2097.29,153.14,401.98,1269.2784
22-afternoon-front-noisy.mp4,657,6,2,0.48,2097.36,152.93,401.98,1171.2728
23-afternoon-front-crowd.mp4,444,5,1,0.48,2097.27,152.67,401.98,791.5108
24-morning-back.mp4,593,1,11,0.48,2097.44,153.70,401.98,1057.2127
25-morning-back.mp4,447,0,3,0.48,2097.23,152.48,401.98,796.8436
26-afternoon-back-uncrowd.mp4,354,1,3,0.48,2097.26,152.88,401.98,631.0645
27-random.mp4,383,0,5,0.48,2097.21,153.14,401.98,682.7483
28-random.mp4,648,2,3,0.48,2097.33,153.17,401.98,1155.2108
29-random.mp4,982,14,1,0.48,2097.37,153.34,401.98,1750.6790
30-random.mp4,503,2,1,0.48,2097.20,152.45,401.98,896.6579
